"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_STATE_NM","DEST_AIRPORT_ID","DEST_CITY_NAME","DEST_STATE_NM","CRS_DEP_TIME","DEP_DELAY","CRS_ELAPSED_TIME","DISTANCE",
2019,2,6,17,1,"DL","N915DL","1532",10397,"ATL","Georgia",11423,"Des Moines, IA","Iowa","1508",-4.00,132.00,743.00,
2019,2,6,17,1,"DL","N915DL","1532",11423,"DSM","Iowa",10397,"Atlanta, GA","Georgia","1704",2.00,130.00,743.00,
2019,2,6,17,1,"DL","N903DE","1952",11423,"DSM","Iowa",10397,"Atlanta, GA","Georgia","0600",-7.00,125.00,743.00,
2019,2,6,17,1,"DL","N958DL","1953",10397,"ATL","Georgia",11423,"Des Moines, IA","Iowa","2132",-3.00,128.00,743.00,
2019,2,6,17,1,"DL","N913DE","2541",10397,"ATL","Georgia",11423,"Des Moines, IA","Iowa","0928",-3.00,127.00,743.00,
2019,2,6,17,1,"DL","N913DE","2541",11423,"DSM","Iowa",10397,"Atlanta, GA","Georgia","1119",-9.00,121.00,743.00,
2019,2,6,17,1,"DL","N949AT","2881",10397,"ATL","Georgia",11003,"Cedar Rapids/Iowa City, IA","Iowa","2159",-6.00,129.00,694.00,
2019,2,6,18,2,"DL","N953AT","315",10397,"ATL","Georgia",11003,"Cedar Rapids/Iowa City, IA","Iowa","0926",-1.00,122.00,694.00,
2019,2,6,18,2,"DL","N953AT","315",11003,"CID","Iowa",10397,"Atlanta, GA","Georgia","1110",-8.00,126.00,694.00,
2019,2,6,18,2,"DL","N949AT","480",11003,"CID","Iowa",10397,"Atlanta, GA","Georgia","0600",-4.00,121.00,694.00,
2019,2,6,21,5,"DL","N975DL","2541",10397,"ATL","Georgia",11423,"Des Moines, IA","Iowa","0928",-5.00,127.00,743.00,
2019,2,6,21,5,"DL","N975DL","2541",11423,"DSM","Iowa",10397,"Atlanta, GA","Georgia","1119",12.00,121.00,743.00,
2019,2,6,28,5,"DL","N951AT","2881",10397,"ATL","Georgia",11003,"Cedar Rapids/Iowa City, IA","Iowa","2159",55.00,129.00,694.00,
2019,2,6,29,6,"DL","N951AT","480",11003,"CID","Iowa",10397,"Atlanta, GA","Georgia","0600",-4.00,120.00,694.00,
2019,2,6,29,6,"DL","N916DE","1532",10397,"ATL","Georgia",11423,"Des Moines, IA","Iowa","1509",-3.00,129.00,743.00,
2019,2,6,29,6,"DL","N916DE","1532",11423,"DSM","Iowa",10397,"Atlanta, GA","Georgia","1705",2.00,133.00,743.00,
2019,2,6,29,6,"DL","N905DE","1952",11423,"DSM","Iowa",10397,"Atlanta, GA","Georgia","0600",-3.00,125.00,743.00,
2019,2,6,29,6,"DL","N963DL","1953",10397,"ATL","Georgia",11423,"Des Moines, IA","Iowa","2132",-4.00,127.00,743.00,
2019,2,6,29,6,"DL","N964DL","2541",10397,"ATL","Georgia",11423,"Des Moines, IA","Iowa","0926",-2.00,122.00,743.00,
2019,2,6,29,6,"DL","N964DL","2541",11423,"DSM","Iowa",10397,"Atlanta, GA","Georgia","1115",-3.00,119.00,743.00,
2019,2,6,29,6,"DL","N924AT","2881",10397,"ATL","Georgia",11003,"Cedar Rapids/Iowa City, IA","Iowa","2159",-7.00,128.00,694.00,
2019,2,6,30,7,"DL","N924AT","480",11003,"CID","Iowa",10397,"Atlanta, GA","Georgia","0605",0.00,120.00,694.00,
2019,2,6,6,4,"DL","N979DL","2541",10397,"ATL","Georgia",11423,"Des Moines, IA","Iowa","0940",-3.00,127.00,743.00,
2019,2,6,6,4,"DL","N979DL","2541",11423,"DSM","Iowa",10397,"Atlanta, GA","Georgia","1131",-8.00,122.00,743.00,
2019,2,6,9,7,"DL","N997AT","480",11003,"CID","Iowa",10397,"Atlanta, GA","Georgia","0600",19.00,121.00,694.00,
